rank,profile_url,name,title,registration_date,last_active,active_projects,portfolio_count,employment_rate,received_projects,financial_deals,completion_rate,ontime_delivery_rate,rehire_rate,communication_success_rate,total_completed_projects,avg_response_time_raw,avg_response_time_minutes,skills,skills_count,success_score,skills_str,registration_date_str
1,https://mostaql.com/u/DavidLabib,ديفيد ل.,مهندس حاسوب,2023-06-01T00:00:00,منذ دقيقة,0.0,8.0,0.0,0.0,0.0,100.0,100.0,41.33,30.05,113.0,44 دقيقة,44.0,"[""حل المشكلات"", ""بايثون"", ""VPS"", ""خدمات الويب"", ""استضافة المواقع"", ""تركيب سكربتات""]",6.0,86.73,"حل المشكلات, بايثون, VPS, خدمات الويب, استضافة المواقع, تركيب سكربتات",2023-06-01T00:00:00
2,https://mostaql.com/u/ahmednabil67,Ahmed N.,معلق صوتي,2023-03-10T00:00:00,منذ دقيقة,0.0,8.0,0.0,0.0,0.0,98.94,82.8,34.62,72.31,93.0,34 دقيقة,34.0,"[""مكساج"", ""التمثيل الصوتي"", ""التعليق الصوتي"", ""اللغة العربية"", ""التدقيق اللغوي"", ""الإعلان"", ""كتابة مقالات"", ""تصميم الصوت""]",8.0,83.85,"مكساج, التمثيل الصوتي, التعليق الصوتي, اللغة العربية, التدقيق اللغوي, الإعلان, كتابة مقالات, تصميم الصوت",2023-03-10T00:00:00
3,https://mostaql.com/u/Mustafa_hijazi,مصطفى ح.,مصمم جرافيك,2022-08-11T00:00:00,منذ دقيقة,0.0,19.0,0.0,0.0,0.0,100.0,100.0,21.43,40.0,52.0,42 دقيقة,42.0,"[""كتابة المحتوى"", ""إدارة حسابات التواصل الاجتماعي"", ""تصميم انفوجرافيك"", ""أدوبي بريمير"", ""تصميم ملصقات المنتجات"", ""تصميم دعوات"", ""فوتوشوب"", ""تصميم جرافيك"", ""التصميم الإبداعي"", ""تصميم شعار"", ""Adobe Illustrator"", ""تصميم إعلان"", ""تعديل الصور"", ""تصميم بوسترات"", ""الفكرة التصميمية"", ""تصميم بنرات""]",16.0,82.01,"كتابة المحتوى, إدارة حسابات التواصل الاجتماعي, تصميم انفوجرافيك, أدوبي بريمير, تصميم ملصقات المنتجات, تصميم دعوات, فوتوشوب, تصميم جرافيك, التصميم الإبداعي, تصميم شعار, Adobe Illustrator, تصميم إعلان, تعديل الصور, تصميم بوسترات, الفكرة التصميمية, تصميم بنرات",2022-08-11T00:00:00
4,https://mostaql.com/u/Mohamed_Abusayd,محمد ع.,مصمم جرافيك,2022-08-17T00:00:00,منذ دقيقة,1.0,12.0,0.0,0.0,0.0,100.0,90.57,31.43,50.94,53.0,49 دقيقة,49.0,"[""تصميم جرافيك"", ""التصميم الإبداعي"", ""تصميم إعلان"", ""Adobe InDesign"", ""فوتوشوب"", ""Adobe Illustrator"", ""After Effects"", ""تصميم كتب"", ""الفكرة التصميمية"", ""تصميم انفوجرافيك""]",10.0,81.8,"تصميم جرافيك, التصميم الإبداعي, تصميم إعلان, Adobe InDesign, فوتوشوب, Adobe Illustrator, After Effects, تصميم كتب, الفكرة التصميمية, تصميم انفوجرافيك",2022-08-17T00:00:00
5,https://mostaql.com/u/Mohammed_elaydi,Mohammed A.,مصمم موشن جرافيك,2020-02-18T00:00:00,منذ دقيقة,0.0,10.0,0.0,0.0,0.0,100.0,100.0,6.98,42.86,51.0,7 ساعات و 51 دقيقة,471.0,"[""تصميم هوية تجارية"", ""تصميم موشن جرافيك"", ""تصميم ملصقات المنتجات"", ""فوتوشوب"", ""تصميم شعار"", ""تصميم جرافيك"", ""تصميم بوسترات"", ""تصميم بنرات"", ""تصميم الأيقونات"", ""تصميم الأثاث""]",10.0,80.43,"تصميم هوية تجارية, تصميم موشن جرافيك, تصميم ملصقات المنتجات, فوتوشوب, تصميم شعار, تصميم جرافيك, تصميم بوسترات, تصميم بنرات, تصميم الأيقونات, تصميم الأثاث",2020-02-18T00:00:00
6,https://mostaql.com/u/bedo_elhady,عبدالله ع.,محرر فيديو موشن ومونتاج,2021-04-14T00:00:00,منذ دقيقة,0.0,9.0,0.0,0.0,0.0,98.21,89.09,26.09,49.12,55.0,ساعتين و 28 دقيقة,148.0,"[""Adobe InDesign"", ""تصميم شعار"", ""التصميم الإبداعي"", ""تصميم إعلان"", ""تعديل الصور"", ""تحريك شعار"", ""تحرير المحتوى"", ""فوتوشوب"", ""Adobe Illustrator"", ""After Effects"", ""تصميم جرافيك""]",11.0,80.17,"Adobe InDesign, تصميم شعار, التصميم الإبداعي, تصميم إعلان, تعديل الصور, تحريك شعار, تحرير المحتوى, فوتوشوب, Adobe Illustrator, After Effects, تصميم جرافيك",2021-04-14T00:00:00
7,https://mostaql.com/u/shabanmagdy,Shaaban M.,Technical Project Manager,2015-03-23T00:00:00,منذ دقيقة,0.0,9.0,0.0,0.0,0.0,100.0,100.0,100.0,13.33,4.0,5 ساعات و 6 دقائق,306.0,"[""إدارة المشاريع"", ""تصميم تجربة المستخدم"", ""البحث والتطوير"", ""إدارة أعمال"", ""تطوير الويب"", ""تطوير التطبيقات"", ""SaaS"", ""Vibe Coding"", ""تخصيص نماذج الذكاء الاصطناعي"", ""الذكاء الاصطناعي""]",10.0,79.65,"إدارة المشاريع, تصميم تجربة المستخدم, البحث والتطوير, إدارة أعمال, تطوير الويب, تطوير التطبيقات, SaaS, Vibe Coding, تخصيص نماذج الذكاء الاصطناعي, الذكاء الاصطناعي",2015-03-23T00:00:00
8,https://mostaql.com/u/Mohamed_sayed72,Mohamed S.,مصمم جرافيك,2025-07-06T00:00:00,منذ دقيقة,0.0,7.0,0.0,0.0,0.0,100.0,100.0,40.0,58.82,10.0,ساعتين و 42 دقيقة,162.0,"[""تعديل الصور"", ""كتابة المحتوى"", ""تصميم بوسترات"", ""تصميمات سوشيال ميديا"", ""اللغة الإنجليزية"", ""فوتوشوب"", ""تصميم جرافيك"", ""التصميم الإبداعي"", ""الفكرة التصميمية"", ""تصميم إعلان""]",10.0,79.31,"تعديل الصور, كتابة المحتوى, تصميم بوسترات, تصميمات سوشيال ميديا, اللغة الإنجليزية, فوتوشوب, تصميم جرافيك, التصميم الإبداعي, الفكرة التصميمية, تصميم إعلان",2025-07-06T00:00:00
9,https://mostaql.com/u/Kareem_Elsaye,Kareem E.,مصمم موشن جرافيك,2020-05-16T00:00:00,منذ دقيقة,0.0,24.0,0.0,0.0,0.0,100.0,79.25,16.87,38.77,106.0,ساعة و 12 دقيقة,72.0,"[""فوتوشوب"", ""تصميم إعلان"", ""إنتاج الفيديو"", ""أدوبي أوديشن"", ""Adobe Illustrator"", ""After Effects"", ""مونتاج فيديو"", ""التصميم الإبداعي"", ""تصميم جرافيك"", ""تعديل الصور""]",10.0,79.05,"فوتوشوب, تصميم إعلان, إنتاج الفيديو, أدوبي أوديشن, Adobe Illustrator, After Effects, مونتاج فيديو, التصميم الإبداعي, تصميم جرافيك, تعديل الصور",2020-05-16T00:00:00
10,https://mostaql.com/u/khaled88,Khalid E.,مترجم كاتب محتوى,2016-06-05T00:00:00,منذ دقيقة,1.0,10.0,0.0,0.0,0.0,96.61,71.93,53.85,51.28,57.0,ساعتين و 32 دقيقة,152.0,"[""تطوير المدونات"", ""كتابة مقالات"", ""إعادة صياغة المحتوى"", ""الكتابة الأكاديمية"", ""التدقيق الإملائي الإنجليزي"", ""مايكروسوفت وورد"", ""مونتاج فيديو"", ""البحث العلمي"", ""التدوين"", ""تعليم قواعد اللغة الإنجليزية""]",10.0,78.97,"تطوير المدونات, كتابة مقالات, إعادة صياغة المحتوى, الكتابة الأكاديمية, التدقيق الإملائي الإنجليزي, مايكروسوفت وورد, مونتاج فيديو, البحث العلمي, التدوين, تعليم قواعد اللغة الإنجليزية",2016-06-05T00:00:00
